distance,speed,robot-speed,angle,max-height
1.6,8.59375,-3.2,0.7819075,2.3803043
1.9,8.911133,-3.2,0.7819075,2.5082128
2.2,9.204102,-3.2,0.7784169,2.6155932
2.2,8.898926,-2.82,0.7819075,2.500315
2.5,9.49707,-3.2,0.77143556,2.7104876
2.5,9.204102,-2.82,0.7819075,2.6242552
2.5,8.898926,-2.44,0.7819075,2.4963646
2.8,9.716797,-3.2,0.75049156,2.7201858
2.8,9.484863,-2.82,0.7749262,2.7142107
2.8,9.18808,-2.44,0.7819075,2.613255
2.8,8.911133,-2.06,0.7819075,2.4964132
3.1,9.9609375,-3.2,0.7330383,2.7471313
3.1,9.753418,-2.82,0.7644542,2.7842498
3.1,9.49707,-2.44,0.7819075,2.7398496
3.1,9.1796875,-2.06,0.7819075,2.6045756
3.1,8.92334,-1.68,0.7819075,2.4956272
3.4,10.205078,-3.2,0.7190757,2.7835014
3.4,9.9609375,-2.82,0.74351025,2.784435
3.4,9.741211,-2.44,0.77143556,2.8006918
3.4,9.460449,-2.06,0.7819075,2.7189715
3.4,9.1796875,-1.68,0.7819075,2.5984967
3.7,10.467529,-3.2,0.70162237,2.806966
3.7,10.205078,-2.82,0.726057,2.807481
3.7,9.985352,-2.44,0.7574729,2.8447056
3.7,9.741211,-2.06,0.7819075,2.834531
3.7,9.448242,-1.68,0.7819075,2.707367
4,10.717773,-3.2,0.69115037,2.8527086
4,10.48584,-2.82,0.7225663,2.9015067
4,10.229492,-2.44,0.7400196,2.869918
4,9.985352,-2.06,0.7679449,2.8801608
4,9.741211,-1.68,0.7819075,2.8274908
4,9.448242,-1.3,0.7819075,2.7000597
